TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
520485761545819,553328,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
520485762543522,553328,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
520485763186143,553328,0,0,0,0,0,0,0,/usr/lib/
520485763425244,553328,0,0,0,0,0,0,0,/usr/lib/emacsen-common
520485763452240,553328,0,0,0,0,0,0,0,/usr/lib/emacsen-common/packages
520485763483315,553328,0,0,0,0,0,0,0,/usr/lib/emacsen-common/packages/remove
520485763507701,553328,0,0,0,0,0,0,0,/usr/lib/emacsen-common/packages/compat
520485763528329,553328,0,0,0,0,0,0,0,/usr/lib/emacsen-common/packages/install
520485763549790,553328,0,0,0,0,0,0,0,/usr/lib/sysusers.d
520485763576062,553328,0,0,0,0,0,0,0,/usr/lib/X11
520485763596215,553328,0,0,0,0,0,0,0,/usr/lib/initramfs-tools
520485763619266,553328,0,0,0,0,0,0,0,/usr/lib/initramfs-tools/bin
520485763641977,553328,0,0,0,0,0,0,0,/usr/lib/initramfs-tools/etc
520485763662181,553328,0,0,0,0,0,0,0,/usr/lib/initramfs-tools/etc/dhcp
520485763684754,553328,0,0,0,0,0,0,0,/usr/lib/initramfs-tools/etc/dhcp/dhclient-enter-hooks.d
520485763706896,553328,0,0,0,0,0,0,0,/usr/lib/byobu
520485763760540,553328,0,0,0,0,0,0,0,/usr/lib/byobu/include
520485763794221,553328,0,0,0,0,0,0,0,/usr/lib/byobu/include/__pycache__
520485763818956,553328,0,0,0,0,0,0,0,/usr/lib/udisks2
520485763846916,553328,0,0,0,0,0,0,0,/usr/lib/udev
520485763904327,553328,0,0,0,0,0,0,0,/usr/lib/udev/hwdb.d
520485763950740,553328,0,0,0,0,0,0,0,/usr/lib/udev/rules.d
520485764081149,553328,0,0,0,0,0,0,0,/usr/lib/hdparm
520485764104379,553328,0,0,0,0,0,0,0,/usr/lib/policykit-1
520485764131549,553328,0,0,0,0,0,0,0,/usr/lib/recovery-mode
520485764153706,553328,0,0,0,0,0,0,0,/usr/lib/recovery-mode/options
