pid,label,total_events,open_count,create_count,delete_count,encrypt_count,unique_files,open_ratio,delete_ratio,encrypt_ratio,events_per_ts
552040,0,4,4,0,0,0,4,1.0,0.0,0.0,4.0
552041,0,7,6,0,0,0,7,0.8571428571428571,0.0,0.0,7.0
552042,0,40,39,0,0,0,40,0.975,0.0,0.0,40.0
552045,0,4,4,0,0,0,4,1.0,0.0,0.0,4.0
552046,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
552048,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
552049,0,859,846,0,0,0,699,0.9848661233993015,0.0,0.0,2.762057877813505
547608,0,18,18,0,0,0,1,1.0,0.0,0.0,0.0002645541527653258
552051,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
547607,0,18,18,0,0,0,1,1.0,0.0,0.0,0.0002645541527653258
547609,0,17,17,0,0,0,1,1.0,0.0,0.0,0.0002654673787438708
851,0,162,0,0,0,0,1,0.0,0.0,0.0,0.0025170131444019763
552092,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.07811320754716981
552093,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
770,0,79,78,0,0,0,12,0.9873417721518988,0.0,0.0,0.0013166666666666667
546258,0,8,8,0,0,0,1,1.0,0.0,0.0,0.0001454201734135568
552102,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10202069985214392
552103,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
546257,0,7,7,0,0,0,1,1.0,0.0,0.0,0.000157945802026219
552109,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
552110,0,3,3,0,0,0,3,1.0,0.0,0.0,3.0
552111,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
552112,0,414,414,0,0,0,410,1.0,0.0,0.0,51.75
552113,0,2,2,0,0,0,2,1.0,0.0,0.0,2.0
552114,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
552115,0,35,35,0,0,0,35,1.0,0.0,0.0,35.0
552116,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
552117,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
552118,0,24,24,0,0,0,24,1.0,0.0,0.0,24.0
552122,0,34,34,0,0,0,34,1.0,0.0,0.0,34.0
552123,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
552125,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
552127,0,31,31,0,0,0,31,1.0,0.0,0.0,31.0
552129,0,30,30,0,0,0,30,1.0,0.0,0.0,30.0
552135,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08211027370091234
552136,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
552145,0,210,143,0,0,0,88,0.680952380952381,0.0,0.0,0.1098326359832636
552146,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
541683,0,10,10,0,0,0,2,1.0,0.0,0.0,10.0
552155,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10428211586901763
552156,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
552165,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.0956561922365989
552166,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
552175,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10900473933649289
552176,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
552186,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08884120171673819
552187,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
552193,0,29,29,0,0,0,29,1.0,0.0,0.0,29.0
552196,0,210,143,0,0,0,88,0.680952380952381,0.0,0.0,0.10214007782101167
552197,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545296,0,585,585,0,0,0,499,1.0,0.0,0.0,34.411764705882355
542114,0,188,188,0,0,0,1,1.0,0.0,0.0,0.0022088801682508723
545294,0,1,1,0,0,0,1,1.0,0.0,0.0,1.0
380,0,215,215,0,0,0,73,1.0,0.0,0.0,0.0025635522487718796
1,0,41,41,0,0,0,23,1.0,0.0,0.0,0.0004928773216325059
770,0,105,102,0,0,0,14,0.9714285714285714,0.0,0.0,0.0013124835939550756
545271,0,3,1,0,0,0,2,0.3333333333333333,0.0,0.0,3.0
545302,1,428,74,0,0,0,64,0.17289719626168223,0.0,0.0,0.005504115226337448
851,0,162,0,0,0,0,1,0.0,0.0,0.0,0.002114385653501788
545305,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10207100591715976
545306,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545315,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.14838709677419354
545316,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545326,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.09019607843137255
545327,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545338,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.12343470483005367
545339,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
545349,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.1015203531142717
545350,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
541600,0,10,10,0,0,0,2,1.0,0.0,0.0,10.0
545361,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.09102902374670185
545362,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
